length tN tNlogN
100000 19127 77072
300000 64592 245859
500000 114096 401019
700000 123955 555721
900000 55201 740707
1100000 155846 853237
1300000 176251 902235
1500000 69222 1020934
1700000 301480 1212728
1900000 87203 1397005
2100000 371268 1408066
2300000 286964 1369899
2500000 334047 1703060
2700000 117123 1879453
2900000 355285 1838971
3100000 155566 2079991
3300000 186388 2604692
3500000 175596 2358392
3700000 148921 2419387
3900000 157986 2706385
4100000 453268 2810580
4300000 772731 2606812
4500000 180280 3031783
4700000 605576 2993148
4900000 627029 3171408
5100000 216154 3583904
5300000 901047 3522671
5500000 229701 3849468
5700000 244577 4119132
5900000 767641 3765673
6100000 647752 3978101
6300000 869897 4394223
6500000 671105 4196503
6700000 844448 4485102
6900000 845361 4527856
7100000 830630 4923558
7300000 970934 4719565
7500000 984427 4786025
7700000 1026779 5128609
7900000 1120170 5445607
8100000 810953 5368134
8300000 1415349 5378336
8500000 907008 5783087
8700000 682241 5871121
8900000 1294032 5996028
9100000 994928 6170053
9300000 1041620 6427314
9500000 1354694 6583805
9700000 1303866 6374995
9900000 1352956 6967824
